Altium Designer Pick and Place Locations
C:\ELI\rt_super\MK76\mixdowns\A\CCA\RT_SUPER__MK_76_PICK_PLACE__A.csv

========================================================================================================================
File Design Information:

Date:       18/11/23
Time:       21:46
Revision:   f0b929d69c700d2b5308ad0ca989cd891f9a10c0
Variant:    A
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description","Manufacturer Part Number","Supplier 1","Supplier Part Number 1"
"R2","20k","TopLayer","R0402_0.40MM_HD","23.2760","18.9161","270","RES 20K OHM 1/10W 1% 0402 SMD","ERJ-2RKF2002X","Digi-Key","P20.0KLCT-ND"
"C18","2.2µF","TopLayer","C0603_0.90MM_MD","29.9974","21.9844","270","CAP CER 2.2UF 6.3V X7R 0603","GCM188R70J225KE22D","Digikey","490-5316-1-ND"
"C10","1µF","BottomLayer","C0402_0.55MM_HD","11.6840","22.9960","270","CAP CER 1UF 10V X7S 0402","GCM155C71A105KE38D","Digikey","490-13409-1-ND"
"R10","0","TopLayer","R0402_0.40MM_HD","17.7885","29.8838","180","RES 0.0 OHM 1/10W JUMP 0402 SMD","ERJ-2GE0R00X","Digi-Key","P0.0JCT-ND"
"R7","0","TopLayer","R0402_0.40MM_HD","22.2250","29.9241","180","RES 0.0 OHM 1/10W JUMP 0402 SMD","ERJ-2GE0R00X","Digi-Key","P0.0JCT-ND"
"C9","10µF","TopLayer","C0603_0.90MM_MD","19.8507","29.8838","180","CAP CER 10UF 10V X5R 0603","GRT188R61A106ME13D","Digikey","490-12312-1-ND"
"C7","10µF","TopLayer","C0603_0.90MM_MD","24.1447","29.9241","180","CAP CER 10UF 10V X5R 0603","GRT188R61A106ME13D","Digikey","490-12312-1-ND"
"L3","2.2µH 1.5A","TopLayer","L_NRH3012","19.6648","27.4872","90","Inductor 2.2µH 1.5A","NRH3012T2R2MN","Digikey","587-2589-1-ND"
"L2","2.2µH 1.5A","TopLayer","L_NRH3012","23.1007","27.4872","90","Inductor 2.2µH 1.5A","NRH3012T2R2MN","Digikey","587-2589-1-ND"
"R6","0","TopLayer","R0402_0.40MM_HD","29.2181","19.3297","0","RES 0.0 OHM 1/10W JUMP 0402 SMD","ERJ-2GE0R00X","Digi-Key","P0.0JCT-ND"
"C8","1µF","TopLayer","C0402_0.55MM_HD","20.6875","24.2840","90","CAP CER 1UF 10V X7S 0402","GCM155C71A105KE38D","Digikey","490-13409-1-ND"
"C5","2.2µF","TopLayer","C0603_0.90MM_MD","25.7677","27.3079","90","CAP CER 2.2UF 6.3V X7R 0603","GCM188R70J225KE22D","Digikey","490-5316-1-ND"
"C4","1µF","TopLayer","C0402_0.55MM_HD","29.2475","27.1301","180","CAP CER 1UF 10V X7S 0402","GCM155C71A105KE38D","Digikey","490-13409-1-ND"
"C3","0.47µF","TopLayer","C0402_0.55MM_HD","29.3681","20.1765","180","CAP CER 0.47UF 25V X5R 0402","GRT155R61E474KE01D","Digikey","490-12269-1-ND"
"C2","4.7µF","TopLayer","C0603_1.00MM_MD","29.2833","25.5299","0","CAP CER 4.7UF 6.3V X7S 0603","GCJ188C70J475KE02D","Digikey","490-16480-1-ND"
"C1","2.2µF","TopLayer","C0603_0.90MM_MD","29.1967","24.0059","180","CAP CER 2.2UF 6.3V X7R 0603","GCM188R70J225KE22D","Digikey","490-5316-1-ND"
"U2","PCA9420BSAZ","TopLayer","PCA9420","24.2310","23.2819","0","Power Management IC for Low-Power Microcontroller Applications 24-Pin HVQFN","PCA9420BSAZ","Mouser","771-PCA9420BSAZ"
"C23","0.1uF 6v","BottomLayer","C0201_PERFECT","14.4242","18.1610","180","Cap Ceramic 0.1uF 6.3VDC X5R 10% SMD 0201 Paper T/R","CC0201KRX5R5BB104","Digi-Key","311-1408-1-ND"
"C22","0.1uF 6v","BottomLayer","C0201_PERFECT","12.8778","19.6088","0","Cap Ceramic 0.1uF 6.3VDC X5R 10% SMD 0201 Paper T/R","CC0201KRX5R5BB104","Digi-Key","311-1408-1-ND"
"C36","0.1uF 6v","BottomLayer","C0201_PERFECT","12.6890","23.1440","270","Cap Ceramic 0.1uF 6.3VDC X5R 10% SMD 0201 Paper T/R","CC0201KRX5R5BB104","Digi-Key","311-1408-1-ND"
"C21","0.1uF 6v","BottomLayer","C0201_PERFECT","10.4902","19.5834","180","Cap Ceramic 0.1uF 6.3VDC X5R 10% SMD 0201 Paper T/R","CC0201KRX5R5BB104","Digi-Key","311-1408-1-ND"
"C20","0.1uF 6v","BottomLayer","C0201_PERFECT","9.9822","17.8054","180","Cap Ceramic 0.1uF 6.3VDC X5R 10% SMD 0201 Paper T/R","CC0201KRX5R5BB104","Digi-Key","311-1408-1-ND"
"C43","0.1µF","TopLayer","C0402_0.55MM_MD","8.2550","8.8337","90","CAP CER 0.1UF 16V X7R 0402","CGA2B1X7R1C104K050BC","Digikey","445-5613-1-ND"
"C42","4.7µF","TopLayer","C0603_1.00MM_MD","15.5840","10.4085","270","CAP CER 4.7UF 6.3V X7S 0603","GCJ188C70J475KE02D","Digikey","490-16480-1-ND"
"C34","0.1uF 6v","BottomLayer","C0201_PERFECT","11.7094","20.9296","90","Cap Ceramic 0.1uF 6.3VDC X5R 10% SMD 0201 Paper T/R","CC0201KRX5R5BB104","Digi-Key","311-1408-1-ND"
"C33","0.1uF 6v","BottomLayer","C0201_PERFECT","9.6771","21.5319","90","Cap Ceramic 0.1uF 6.3VDC X5R 10% SMD 0201 Paper T/R","CC0201KRX5R5BB104","Digi-Key","311-1408-1-ND"
